School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Elementary School,320,Glencliff Elementary,240,37211,,34,105,125,115,98,109,,,,,,,,,,18,64,409,1,94,296,290,289,40,349,36.10162585,-86.72309983,"(36.10162585, -86.72309983)"
18-19,Elementary School,775,Westmeade Elementary,695,37205,,,88,81,84,78,84,,,,,,,,,1,27,128,75,1,183,232,183,150,53,60,36.09199678,-86.89413665,"(36.09199678, -86.89413665)"
18-19,Middle School,555,Meigs Middle,330,37206,,,,,,,,168,174,164,169,,,,,2,70,181,48,,374,319,356,68,25,26,36.17636399,-86.76088019,"(36.17636399, -86.76088019)"
18-19,Elementary School,350,Goodlettsville Elementary,270,37072,4,31,64,58,60,66,69,,,,,,,,,3,15,121,89,5,119,187,165,163,52,65,36.31293934,-86.71048708,"(36.31293934, -86.71048708)"
18-19,Charter,668,Rocketship United,8070,37217,,,102,104,116,117,96,,,,,,,,,1,4,226,252,,52,264,271,289,51,265,36.13047686,-86.72486618,"(36.13047686, -86.72486618)"
18-19,Charter,502,KIPP Academy Nashville,8002,37207,,,,,,,,96,92,91,82,,,,,,2,190,159,,10,189,172,210,42,121,36.19453591,-86.76943925,"(36.19453591, -86.76943925)"
18-19,Charter,652,Purpose Prep,8046,37228,,,86,69,61,62,83,,,,,,,,,2,,333,13,,13,171,190,184,25,7,36.19428804,-86.79469996,"(36.19428804, -86.79469996)"
18-19,Non-Traditional,748,Metro Nashville Virtual School,3,37209,,,,,,,,,1,13,133,20,32,56,63,3,23,113,26,,153,123,195,79,17,12,36.15012141,-86.84538306,"(36.15012141, -86.84538306)"
18-19,High School,705,Stratford STEM Magnet School,620,37216,,,,,,,,92,88,87,81,169,161,136,170,2,26,686,99,1,170,525,459,646,166,120,36.19758986,-86.71806713,"(36.19758986, -86.71806713)"
18-19,Non-Traditional - Hybrid,718,The Cohn Learning Center,745,37209,,,,,,,,,,,,,9,46,,,,47,2,,6,31,24,41,15,1,36.15070892,-86.84519908,"(36.15070892, -86.84519908)"
18-19,Elementary School,765,Waverly-Belmont Elementary School,755,37204,21,7,121,104,115,102,79,,,,,,,,,1,23,235,31,,259,279,270,176,100,14,36.12646187,-86.78662956,"(36.12646187, -86.78662956)"
18-19,Elementary School,360,Gower Elementary,280,37209,6,26,108,96,115,129,125,,,,,,,,,1,56,147,69,2,330,325,280,181,112,74,36.11534205,-86.92228685,"(36.11534205, -86.92228685)"
18-19,Elementary School,278,Eagle View Elementary,115,37013,,36,100,108,83,90,93,,,,,,,,,2,13,285,131,,79,266,244,257,35,174,,,
18-19,Elementary School,225,Cole Elementary,130,37013,,78,144,146,130,136,130,,,,,,,,,1,94,81,476,1,111,378,386,420,73,431,36.05833526,-86.69862021,"(36.05833526, -86.69862021)"
18-19,Elementary School,175,Ida B. Wells Elementary,80,37207,,19,47,56,61,49,74,,,,,,,,,2,,277,13,,14,157,149,249,38,31,36.17830976,-86.76900113,"(36.17830976, -86.76900113)"
18-19,Charter,601,Neelys Bend College Prep,6000,37115,,,,,,,,141,115,115,131,,,,,,4,200,218,,80,277,225,281,15,176,36.24190792,-86.67423071,"(36.24190792, -86.67423071)"
18-19,Elementary School,280,Eakin Elementary,195,37212,,,119,97,120,112,103,,,,,,,,,1,47,227,35,,241,272,279,124,80,39,36.13514319,-86.80760668,"(36.13514319, -86.80760668)"
